discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link,latitude,longtidute
DYN,Nitsch Herbert,AT,183,2002-11-16,5th Night of Apnea,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
DYN,Nitsch Herbert,AT,170,2001-02-24,WR Attempt - NITSCH Herbert (DYN),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
DYN,Nitsch Herbert,AT,172,2001-01-01,Compiled rankings for year 2001,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
DNF,Nitsch Herbert,AT,138,2002-12-15,st Dutch Open,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
DNF,Nitsch Herbert,AT,134,2001-11-24,WR Attempt - NITSCH Herbert (DNF),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
DNF,Nitsch Herbert,AT,131,2001-01-27,WR Attempt - NITSCH Herbert (DNF),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
NLT,Nitsch Herbert,AT,214,2007-06-09,WR Attempt - NITSCH Herbert(NLT-VWT-CWT-STA-CNF-FIM),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#20 2007 No Limit 702 ft (214 m),https://www.youtube.com/watch?v=ierAsmNk4pI,47.516231,14.550072
NLT,Nitsch Herbert,AT,185,2007-06-09,WR Attempt - NITSCH Herbert(NLT-VWT-CWT-STA-CNF-FIM),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
NLT,Nitsch Herbert,AT,183,2006-08-25,"WR Attempt - NITSCH Herbert(CWT, CNF, FIM, VWT, NLT and STA)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Herbert Nitsch World Record 183m,https://www.youtube.com/watch?v=z2xjMC5gnOI,47.516231,14.550072
NLT,Nitsch Herbert,AT,172,2005-10-02,WR ATTEMPT - NITSCH Herbert (NLT),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
VWT,Nitsch Herbert,AT,142,2009-12-06,"WR Attempt - NITSCH Herbert(CWT, FIM, VWT, CNF)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#27 2009 VWT 466 ft (142 m),https://www.youtube.com/watch?v=8vcyWm5AqUs,47.516231,14.550072
CWT,Nitsch Herbert,AT,124,2010-04-27,Vertical Blue 2010 - the Suunto Dive-Off,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#31 2010 CWT 407 ft (124 m),https://www.youtube.com/watch?v=90KowxrMqJM,47.516231,14.550072
CWT,Nitsch Herbert,AT,123,2009-12-06,"WR Attempt - NITSCH Herbert(CWT, FIM, VWT, CNF)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Herbert Nitsch 123m Constant Weight World record,https://www.youtube.com/watch?v=6qjYm4XQxEE,47.516231,14.550072
CWT,Nitsch Herbert,AT,114,2009-04-04,Vertical Blue 2009,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found,47.516231,14.550072
CWT,Nitsch Herbert,AT,120,2009-04-03,Vertical Blue 2009,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#25 2009 CWT 394 ft (120 m),https://www.youtube.com/watch?v=KvI4CJns0MI,47.516231,14.550072
CWT,Nitsch Herbert,AT,112,2007-10-27,4th AIDA Individual World Championship,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,CWT New world record -112m by Herbert Nitsch in EGYPT WC,https://www.youtube.com/watch?v=0EJEftVLmKI,47.516231,14.550072
CWT,Nitsch Herbert,AT,111,2006-12-09,5th AIDA Freediving Team World Championship,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Herbert Nitsch -111m World Constant Weight Freediving record,https://www.youtube.com/watch?v=nKNtg006uPg,47.516231,14.550072
